,ABBA,Billie Eilish,Ed Sheeran,JAY-Z,Macklemore,Rage Against the Machine,Taylor Swift,The Beatles,The Wolfe Tones
sight,0.007350777490163346,0.0038408116906645997,0.0032817307580706987,0.0007413321501647972,0.002983673715374038,0.00099292557755648,0.0054869482113052365,0.001637512819840318,0.0017096900592561534
jealous,0.004978379272957432,0.003251529742555222,0.0018521510601280855,0.0025103688798199368,0.0,0.0,0.0,0.0,0.0
met,0.004410466494098007,0.0019204058453322998,0.009845192274212097,0.00518932505115358,0.002983673715374038,0.00099292557755648,0.008230422316957855,0.001637512819840318,0.03419380118512307
woman,0.022052332470490037,0.0019204058453322998,0.015314743537663262,0.004447992900988783,0.0009945579051246793,0.00099292557755648,0.008230422316957855,0.006550051279361272,0.003419380118512307
potential,0.002221148597348208,0.0,0.0,0.0011200236081905126,0.004507810702144172,0.0030002748101299512,0.006217366465437691,0.0,0.0
threat,0.0019945231278746907,0.0,0.0014840806307425264,0.001005746753264806,0.0013492917901788473,0.016164927027201254,0.0,0.0,0.004638987330587901
possessive,0.0038362794937398833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nice,0.017875570233428374,0.002122740795468815,0.001209165200997059,0.01229158931669828,0.003298035116580549,0.00548770364208838,0.003032527952118072,0.0,0.003779647771028883
saying,0.001470155498032669,0.007681623381329199,0.0032817307580706987,0.0022239964504943916,0.008951021146122113,0.00794340462045184,0.0054869482113052365,0.004912538459520954,0.011967830414793074
smoking,0.002221148597348208,0.0,0.006610830559458935,0.0033600708245715384,0.003005207134762781,0.0,0.00207245548847923,0.0,0.0
vice,0.003240182735794255,0.0,0.002410948447302586,0.0,0.0,0.0,0.0,0.0,0.0
true,0.022052332470490037,0.030726493525316798,0.01093910252690233,0.00518932505115358,0.020885716007618266,0.00297877673266944,0.020576055792394635,0.019650153838083818,0.03248411112586692
learned,0.006500207357610318,0.00849096318187526,0.001209165200997059,0.0032777571511195414,0.010993450388601831,0.008780325827341407,0.016678903736649396,0.0,0.0018898238855144414
overturned,0.007672558987479767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beg,0.004442297194696416,0.0029013983591580266,0.0016527076398647337,0.0,0.0015026035673813905,0.0,0.0,0.002473996327460055,0.0
